사고월,사고일,합계,과로,과속,앞지르기 방법위반,앞지르기 금지위반,중앙선 침범,신호위반,안전거리 미확보,서행 및 일시정지위반,부당한 회전,통행우선 순위위반,진로양보 의무 불이행,안전운전 의무 불이행,교차로 통행방법 위반,보행자 보호의무 위반,차로위반(진로변경 위반),직진 및 우회전차의 통행방해,철길건널목 통과방법위반,긴급자동차에대한 피양의무 위반,기타(운전자법규위반),정비불량 제차의 운전금지위반
08월,08일,576,1,1,-,-,20,66,53,1,4,-,-,313,48,17,8,27,-,-,17,-
08월,09일,658,-,1,-,-,22,72,61,2,6,-,1,368,49,26,12,20,-,-,18,-
08월,10일,665,-,1,1,1,40,69,74,1,2,-,-,377,44,17,7,19,-,-,12,-
08월,11일,706,-,3,1,-,40,76,74,-,5,-,-,396,48,21,8,16,-,-,18,-
08월,12일,575,-,1,-,3,31,79,34,-,4,-,1,323,40,9,15,21,-,-,14,-
08월,13일,453,-,-,-,3,30,54,44,1,-,-,-,259,23,13,3,17,-,-,6,-
08월,14일,705,-,5,-,-,36,84,69,2,5,-,-,376,49,26,11,23,-,-,19,-
08월,15일,522,-,2,-,-,19,66,37,2,2,-,-,301,40,18,6,17,-,-,12,-
08월,16일,588,-,1,1,2,29,57,65,2,2,-,-,314,52,20,12,18,-,-,13,-
08월,17일,600,-,3,-,1,22,63,67,1,3,-,-,341,28,26,6,19,-,-,20,-
08월,18일,601,-,-,2,1,28,69,58,4,4,-,-,337,44,22,6,17,-,-,9,-
08월,19일,575,-,1,1,-,26,66,46,-,6,-,-,330,42,15,12,16,-,-,14,-
08월,20일,513,-,4,-,1,25,60,52,1,2,-,-,291,32,14,9,14,-,-,8,-
08월,21일,642,-,1,-,1,36,73,74,3,2,-,-,365,24,24,12,17,-,-,10,-
08월,22일,628,-,-,1,1,17,61,67,-,4,-,-,350,49,27,14,23,-,-,14,-
08월,23일,626,-,4,-,1,27,87,66,2,6,-,-,335,27,24,14,18,-,-,15,-
08월,24일,642,-,3,-,2,26,72,65,-,4,-,-,351,53,23,8,15,-,-,20,-
08월,25일,696,-,2,-,-,30,77,73,-,5,-,-,375,54,24,12,27,-,-,17,-
08월,26일,682,-,3,-,1,35,61,66,2,8,-,-,396,43,17,14,15,-,-,21,-
08월,27일,471,-,1,-,-,28,57,38,2,7,-,-,277,29,9,4,10,-,-,9,-
08월,28일,635,-,1,-,2,27,62,66,3,9,-,1,345,36,20,21,22,-,-,20,-
08월,29일,629,-,2,-,1,22,78,64,2,5,-,-,348,37,22,9,26,-,-,13,-
08월,30일,577,-,-,-,1,27,61,56,1,2,-,-,331,27,17,10,19,-,1,24,-
08월,31일,644,-,1,-,-,20,75,61,3,3,-,-,367,42,31,7,22,-,-,12,-
09월,합계,"19,891",-,86,5,34,944,"2,225","1,742",44,131,1,5,"11,292","1,355",652,359,558,-,-,456,2
09월,01일,770,-,4,-,2,36,100,69,-,3,-,-,416,57,27,17,23,-,-,16,-
09월,02일,667,-,3,-,3,37,78,52,1,4,-,-,392,39,6,11,20,-,-,21,-
09월,03일,498,-,1,-,-,23,64,54,1,6,-,1,270,35,6,8,19,-,-,10,-
09월,04일,584,-,-,-,3,14,70,49,1,5,-,1,336,43,24,8,17,-,-,13,-
09월,05일,584,-,4,-,-,35,58,51,-,2,-,-,324,48,20,11,13,-,-,18,-
09월,06일,650,-,1,-,-,28,77,62,3,5,-,-,349,47,37,14,18,-,-,9,-
09월,07일,603,-,5,-,-,40,72,62,3,2,-,-,309,50,23,9,10,-,-,18,-
09월,08일,704,-,2,1,2,30,68,76,1,10,-,1,404,47,15,18,13,-,-,16,-
09월,09일,659,-,4,-,1,37,71,58,-,3,-,1,371,56,15,14,20,-,-,8,-
