"","date","과속","중앙선 침범","신호위반","안전거리 미확보","안전운전 의무 불이행"
"337","2017-12-03","2",16,55,34,276
"338","2017-12-04","3",30,70,47,354
"339","2017-12-05","1",26,57,54,323
"340","2017-12-06","2",32,79,74,420
"341","2017-12-07",NA,24,68,58,363
"342","2017-12-08","1",26,85,62,388
"343","2017-12-09","2",34,81,67,352
"344","2017-12-10","1",25,55,34,283
"345","2017-12-11","2",27,64,54,269
"346","2017-12-12","1",21,73,35,327
"347","2017-12-13",NA,18,71,57,322
"348","2017-12-14","2",32,65,53,321
"349","2017-12-15","2",20,71,51,383
"350","2017-12-16","4",29,72,63,364
"351","2017-12-17","2",22,58,39,278
"352","2017-12-18","3",31,61,45,328
"353","2017-12-19",NA,19,63,53,323
"354","2017-12-20",NA,28,78,56,366
"355","2017-12-21","1",29,71,53,390
"356","2017-12-22","2",40,79,68,423
"357","2017-12-23","1",32,70,69,396
"358","2017-12-24","1",31,51,37,272
"359","2017-12-25","2",16,60,38,223
"360","2017-12-26",NA,27,62,54,326
"361","2017-12-27","1",25,79,48,301
"362","2017-12-28","3",27,60,28,289
"363","2017-12-29","3",38,84,59,366
"364","2017-12-30","3",33,56,42,277
"365","2017-12-31","3",22,57,46,257
"366","2018-01-01","3",15,54,36,243
"367","2018-01-02",NA,15,55,38,262
"368","2018-01-03","2",27,62,47,253
"369","2018-01-04","4",16,61,45,256
"370","2018-01-05","3",24,60,50,306
"371","2018-01-06","3",19,54,55,287
"372","2018-01-07","5",14,46,24,207
"373","2018-01-08","1",28,70,52,335
"374","2018-01-09","3",30,71,72,352
"375","2018-01-10","4",42,70,70,439
"376","2018-01-11","2",33,70,80,345
"377","2018-01-12","3",22,81,79,401
"378","2018-01-13","2",27,52,54,331
"379","2018-01-14","1",26,72,37,247
"380","2018-01-15","1",33,77,76,317
"381","2018-01-16","3",23,82,47,302
"382","2018-01-17","2",27,83,70,349
"383","2018-01-18","1",28,58,45,304
"384","2018-01-19","5",26,75,64,322
"385","2018-01-20","5",30,73,59,301
"386","2018-01-21","3",19,46,39,201
"387","2018-01-22","4",29,66,54,325
"388","2018-01-23","1",27,74,59,310
"389","2018-01-24","3",20,62,42,306
"390","2018-01-25","2",18,60,52,298
"391","2018-01-26","4",23,74,48,352
"392","2018-01-27","4",29,66,56,282
"393","2018-01-28","4",22,51,31,215
"394","2018-01-29",NA,16,51,40,299
"395","2018-01-30","4",28,70,50,369
"396","2018-01-31","2",24,56,54,359
"397","2018-02-01","2",30,87,57,365
"398","2018-02-02","3",27,82,59,357
"399","2018-02-03","4",38,83,78,419
"400","2018-02-04","6",26,72,56,289
"401","2018-02-05",NA,25,74,56,331
"402","2018-02-06","2",18,78,59,373
"403","2018-02-07","1",29,77,83,375
"404","2018-02-08","2",41,85,80,406
"405","2018-02-09","2",37,88,85,414
"406","2018-02-10","2",26,64,48,325
"407","2018-02-11","4",20,43,28,293
"408","2018-02-12","2",45,81,94,404
"409","2018-02-13","2",30,98,89,447
"410","2018-02-14","1",28,76,67,433
"411","2018-02-15","2",29,53,33,264
"412","2018-02-16","5",22,41,39,184
"413","2018-02-17","2",27,47,32,205
"414","2018-02-18","2",13,42,28,190
"415","2018-02-19","1",21,54,34,290
"416","2018-02-20","2",27,55,60,253
"417","2018-02-21","2",25,57,40,268
"418","2018-02-22","3",34,74,51,310
"419","2018-02-23","1",38,66,61,358
"420","2018-02-24",NA,25,48,43,308
"421","2018-02-25","3",22,54,31,210
"422","2018-02-26","3",16,73,52,309
"423","2018-02-27","1",21,65,56,313
"424","2018-02-28","3",38,87,58,423
"425","2018-03-01","1",19,57,46,268
"426","2018-03-02","1",14,62,64,346
"427","2018-03-03","5",22,57,49,263
"428","2018-03-04","3",23,76,38,231
"429","2018-03-05","2",15,68,58,278
"430","2018-03-06","3",28,55,52,263
"431","2018-03-07",NA,29,51,32,332
"432","2018-03-08","1",20,73,43,287
"433","2018-03-09","1",21,58,48,306
"434","2018-03-10","2",20,62,50,327
"435","2018-03-11","5",26,48,35,231
"436","2018-03-12","1",22,55,55,303
"437","2018-03-13",NA,26,66,46,306
"438","2018-03-14","1",29,59,55,348
"439","2018-03-15","9",25,72,46,358
"440","2018-03-16","3",34,65,53,369
"441","2018-03-17","5",25,70,65,328
"442","2018-03-18","3",20,57,49,251
"443","2018-03-19","2",25,64,66,281
"444","2018-03-20","2",21,63,43,327
"445","2018-03-21",NA,25,72,51,318
"446","2018-03-22",NA,26,70,63,318
"447","2018-03-23","4",20,65,57,323
"448","2018-03-24","7",16,64,52,299
"449","2018-03-25","3",20,45,43,257
"450","2018-03-26","3",32,51,56,341
"451","2018-03-27",NA,22,51,53,302
"452","2018-03-28","1",30,62,61,328
"453","2018-03-29","3",25,73,56,366
"454","2018-03-30","5",40,73,51,341
"455","2018-03-31","4",24,66,50,354
"456","2018-04-01","3",16,46,36,269
"457","2018-04-02","4",35,63,46,340
"458","2018-04-03","1",29,76,64,328
"459","2018-04-04","1",28,67,48,348
"460","2018-04-05","4",31,78,61,385
"461","2018-04-06","3",25,70,44,365
"462","2018-04-07","2",31,73,73,365
"463","2018-04-08","2",28,52,43,286
"464","2018-04-09","2",25,61,67,345
"465","2018-04-10","1",26,90,60,347
"466","2018-04-11","2",25,62,55,349
"467","2018-04-12","3",17,68,54,369
"468","2018-04-13","2",20,76,61,375
"469","2018-04-14","4",29,71,49,323
"470","2018-04-15","2",24,48,37,291
"471","2018-04-16","1",23,57,58,338
"472","2018-04-17","7",21,66,54,314
"473","2018-04-18","3",25,48,73,333
"474","2018-04-19","1",25,54,52,344
"475","2018-04-20","4",24,74,60,383
"476","2018-04-21","5",28,70,62,397
"477","2018-04-22","2",21,58,42,282
"478","2018-04-23","3",32,86,48,353
"479","2018-04-24","3",39,82,44,336
"480","2018-04-25","4",17,63,61,330
"481","2018-04-26","5",16,56,56,323
"482","2018-04-27","1",22,52,63,375
"483","2018-04-28","1",29,53,65,404
"484","2018-04-29","3",26,57,38,312
"485","2018-04-30","5",24,61,51,375
"486","2018-05-01","4",22,61,49,280
"487","2018-05-02","2",35,73,77,303
"488","2018-05-03","1",31,75,57,361
"489","2018-05-04","2",39,77,50,383
"490","2018-05-05","2",43,63,58,352
"491","2018-05-06","5",26,51,37,241
"492","2018-05-07","4",25,53,48,324
"493","2018-05-08",NA,20,77,62,318
"494","2018-05-09","1",24,66,55,334
"495","2018-05-10","1",17,63,61,349
"496","2018-05-11","2",18,94,56,336
"497","2018-05-12","5",31,80,62,379
"498","2018-05-13","5",18,58,48,285
"499","2018-05-14","1",21,51,46,334
"500","2018-05-15","3",20,57,43,343
"501","2018-05-16","1",25,52,47,286
"502","2018-05-17","1",25,79,56,361
"503","2018-05-18","2",26,73,60,391
"504","2018-05-19","1",35,69,66,413
"505","2018-05-20","3",22,56,59,268
"506","2018-05-21","5",33,62,56,331
"507","2018-05-22","1",27,56,54,365
"508","2018-05-23","1",31,58,60,368
"509","2018-05-24","1",18,76,46,332
"510","2018-05-25","5",30,69,66,355
"511","2018-05-26","4",21,69,60,393
"512","2018-05-27","2",19,61,34,248
"513","2018-05-28","3",33,58,63,339
"514","2018-05-29","3",26,77,60,331
"515","2018-05-30","3",33,76,52,355
"516","2018-05-31","2",28,71,80,391
"517","2018-06-01","3",29,82,64,399
"518","2018-06-02","6",31,88,55,388
"519","2018-06-03","1",24,62,41,289
"520","2018-06-04","1",29,71,53,354
"521","2018-06-05","3",32,70,57,385
"522","2018-06-06",NA,22,72,53,310
"523","2018-06-07","2",24,58,60,338
"524","2018-06-08","1",25,78,61,360
"525","2018-06-09","1",26,91,61,334
"526","2018-06-10","7",28,56,44,257
"527","2018-06-11","1",29,68,60,337
"528","2018-06-12","2",25,73,55,350
"529","2018-06-13","4",26,63,45,303
"530","2018-06-14","2",25,63,45,378
"531","2018-06-15","3",35,56,65,369
"532","2018-06-16","2",29,60,57,351
"533","2018-06-17","1",29,62,31,253
"534","2018-06-18","1",34,69,61,368
"535","2018-06-19","3",19,47,61,335
"536","2018-06-20",NA,25,68,43,330
"537","2018-06-21","1",19,59,59,363
"538","2018-06-22","1",32,74,79,406
"539","2018-06-23","5",26,73,47,331
"540","2018-06-24",NA,22,53,38,257
"541","2018-06-25","2",26,76,68,396
"542","2018-06-26","4",28,72,58,348
"543","2018-06-27","3",29,54,49,305
"544","2018-06-28","4",21,68,64,327
"545","2018-06-29","1",29,65,53,371
"546","2018-06-30","4",22,50,52,310
"547","2018-07-01","3",29,48,47,284
"548","2018-07-02","2",33,80,68,363
"549","2018-07-03","1",26,57,47,346
"550","2018-07-04","2",21,63,79,316
"551","2018-07-05","6",19,73,48,334
"552","2018-07-06","3",28,62,54,322
"553","2018-07-07",NA,37,55,59,365
"554","2018-07-08","2",26,59,29,250
"555","2018-07-09","1",19,63,48,297
"556","2018-07-10","3",30,58,59,324
"557","2018-07-11","2",29,71,60,336
"558","2018-07-12",NA,30,65,51,328
"559","2018-07-13","2",28,56,57,380
"560","2018-07-14","3",27,80,58,350
"561","2018-07-15","6",27,49,37,270
"562","2018-07-16","2",23,68,67,330
"563","2018-07-17","1",29,70,61,350
"564","2018-07-18","4",23,55,53,385
"565","2018-07-19","5",20,72,69,408
"566","2018-07-20","3",31,64,61,449
"567","2018-07-21","4",24,66,62,343
"568","2018-07-22","1",26,51,41,302
"569","2018-07-23","3",25,76,62,355
"570","2018-07-24","1",26,70,55,383
"571","2018-07-25",NA,22,70,59,356
"572","2018-07-26","2",29,60,54,319
"573","2018-07-27","6",34,79,61,386
"574","2018-07-28","2",22,73,58,335
"575","2018-07-29","1",24,61,41,284
"576","2018-07-30","1",25,54,57,383
"577","2018-07-31","5",27,66,59,345
"578","2018-08-01","6",21,66,62,379
"579","2018-08-02","4",20,68,62,364
"580","2018-08-03","1",33,60,63,326
"581","2018-08-04","6",20,59,61,300
"582","2018-08-05","4",27,56,56,264
"583","2018-08-06","1",20,63,53,314
"584","2018-08-07","4",27,65,58,304
"585","2018-08-08","3",27,60,44,326
"586","2018-08-09","3",26,55,60,353
"587","2018-08-10","4",29,68,54,382
"588","2018-08-11","2",29,64,50,311
"589","2018-08-12","5",18,45,36,270
"590","2018-08-13","1",27,81,64,377
"591","2018-08-14","3",25,69,75,373
"592","2018-08-15","1",25,65,48,309
"593","2018-08-16","1",31,72,59,342
"594","2018-08-17","3",22,82,56,404
"595","2018-08-18","3",30,86,57,336
"596","2018-08-19","2",22,64,47,268
"597","2018-08-20","7",26,58,62,327
"598","2018-08-21","2",26,86,66,369
"599","2018-08-22","3",28,60,60,367
"600","2018-08-23","2",24,69,49,283
"601","2018-08-24","1",31,81,58,316
"602","2018-08-25","2",21,62,46,365
"603","2018-08-26","3",30,47,32,302
"604","2018-08-27","4",33,66,50,351
"605","2018-08-28","1",22,72,58,367
"606","2018-08-29","2",30,61,42,366
"607","2018-08-30","5",28,61,58,311
"608","2018-08-31","5",26,71,66,343
"609","2018-09-01","5",27,74,59,351
"610","2018-09-02","5",30,42,43,261
"611","2018-09-03","3",27,74,75,355
"612","2018-09-04","2",23,76,60,295
"613","2018-09-05","2",45,66,68,376
"614","2018-09-06","2",32,76,47,316
"615","2018-09-07","4",27,75,56,380
"616","2018-09-08","1",29,57,71,378
"617","2018-09-09","3",19,57,33,319
"618","2018-09-10","1",23,51,83,416
"619","2018-09-11","1",18,64,58,315
"620","2018-09-12","3",23,75,73,434
"621","2018-09-13","3",35,82,63,387
"622","2018-09-14","2",36,83,84,409
"623","2018-09-15","3",27,69,50,374
"624","2018-09-16","5",28,59,41,300
"625","2018-09-17","1",18,72,60,373
"626","2018-09-18","2",24,72,53,357
"627","2018-09-19","1",32,60,66,407
"628","2018-09-20","4",41,89,81,391
"629","2018-09-21","9",35,87,85,458
"630","2018-09-22","4",30,79,59,412
"631","2018-09-23","4",20,43,43,264
"632","2018-09-24","1",20,51,43,252
"633","2018-09-25","6",30,54,47,252
"634","2018-09-26","3",17,52,46,238
"635","2018-09-27","1",29,69,58,355
"636","2018-09-28","1",24,69,45,306
"637","2018-09-29","3",22,67,49,342
"638","2018-09-30","2",28,64,39,282
"639","2018-10-01","3",33,62,59,329
"640","2018-10-02","4",32,66,71,373
"641","2018-10-03","2",31,66,53,298
"642","2018-10-04","2",24,88,83,389
"643","2018-10-05","1",36,96,96,488
"644","2018-10-06","9",27,80,46,382
"645","2018-10-07","1",37,72,49,318
"646","2018-10-08","6",26,61,61,377
"647","2018-10-09",NA,25,57,38,290
"648","2018-10-10","2",21,55,48,314
"649","2018-10-11","5",23,76,63,328
"650","2018-10-12",NA,40,93,77,392
"651","2018-10-13","6",30,72,57,337
"652","2018-10-14","1",13,63,45,264
"653","2018-10-15","3",25,61,56,323
"654","2018-10-16","1",25,61,52,358
"655","2018-10-17","2",28,68,74,345
"656","2018-10-18","2",20,73,69,372
"657","2018-10-19","5",27,93,76,424
"658","2018-10-20",NA,40,84,71,428
"659","2018-10-21","4",31,59,37,330
"660","2018-10-22","2",19,61,52,326
"661","2018-10-23","4",32,63,63,323
"662","2018-10-24","3",30,88,79,393
"663","2018-10-25","4",27,79,69,378
"664","2018-10-26","6",40,76,59,377
"665","2018-10-27","3",29,85,53,397
"666","2018-10-28","3",26,66,52,292
"667","2018-10-29","4",27,83,76,361
"668","2018-10-30","1",27,85,66,377
"669","2018-10-31","4",23,77,59,367
"670","2018-11-01","2",24,92,56,353
"671","2018-11-02","4",33,89,64,463
"672","2018-11-03",NA,26,93,63,360
"673","2018-11-04","2",24,64,56,283
"674","2018-11-05","3",19,77,63,381
"675","2018-11-06","4",20,75,70,330
"676","2018-11-07","5",37,86,67,388
"677","2018-11-08","2",44,129,88,438
"678","2018-11-09","4",31,71,80,418
"679","2018-11-10","2",28,74,80,389
"680","2018-11-11","3",26,60,47,244
"681","2018-11-12",NA,23,79,59,319
"682","2018-11-13","4",29,76,58,329
"683","2018-11-14","4",35,83,67,348
"684","2018-11-15","5",25,67,59,342
"685","2018-11-16","3",34,81,65,352
"686","2018-11-17","3",34,71,74,376
"687","2018-11-18","4",33,59,44,231
"688","2018-11-19","2",18,68,65,314
"689","2018-11-20","2",22,108,50,338
"690","2018-11-21","2",16,81,64,313
"691","2018-11-22","2",21,77,67,340
"692","2018-11-23","1",26,84,70,405
